frequency,magnitude
47375.0,9.305512119112027
47425.0,9.159201619577063
47475.0,9.39362426939654
47525.0,9.354370944838783
47575.0,9.655039427943736
47625.0,9.38713942076584
47675.0,9.416289139937525
47725.0,9.346314198035117
47775.0,9.413785172794249
47825.0,9.3496270819106
47875.0,9.64567766601226
47925.0,9.381966219204541
47975.0,9.664194464903687
48025.0,9.467681163768606
48075.0,9.656125313587744
48125.0,9.398526312304321
48175.0,9.993100720886058
48225.0,9.602056423553945
48275.0,10.420599358476194
48325.0,9.89986262089747
48375.0,10.8275063333786
48425.0,9.992672671458472
48475.0,16.910796907096845
48525.0,10.511677298857066
48575.0,15.03157166199974
48625.0,10.42319707484203
48675.0,11.749876186100465
48725.0,10.585424110906931
48775.0,12.029004163173266
48825.0,10.869871728793917
48875.0,11.534302684216755
48925.0,11.044811894869133
48975.0,11.584657858448086
49025.0,12.10401050749753
49075.0,12.73346372549818
49125.0,13.357902039032536
49175.0,14.355790546120673
49225.0,13.891922699064363
49275.0,13.669985815468536
49325.0,14.524698663182942
49375.0,15.409462025898609
49425.0,15.13962605811966
49475.0,14.28299367800906
49525.0,14.2132884214329
49575.0,13.958409763210785
49625.0,13.315091449637583
49675.0,12.504440171581281
49725.0,11.996497358810398
49775.0,12.053052854016883
49825.0,11.81643165337848
49875.0,12.010881574051265
49925.0,4.680526970137786
